     Week         GPSTime       E        N          U       VX       VY       VZ          Heading               Pitch                  Roll
   (weeks)              (sec)       (m)    (m)       (m)   (m/s)  (m/s)   (m/s)           (deg)                 (deg)                 (deg)
2129.00000 375149.00 0.000 0.000 0.000 0.000 -0.001 0.001 90.6449827843 -0.7436075448 0.6159067115
2129.00000 375149.10 0.000 0.000 0.000 0.001 -0.000 0.000 90.6444499336 -0.7429199955 0.6164338326
2129.00000 375149.20 0.000 0.000 0.000 -0.000 0.000 0.001 90.6445072294 -0.7424501701 0.6160384917
2129.00000 375149.30 0.000 0.000 0.000 0.001 -0.000 0.000 90.6449197590 -0.7434184688 0.6158093086
2129.00000 375149.40 0.000 0.000 0.000 0.001 -0.000 0.000 90.6446733871 -0.7427080011 0.6167833369
2129.00000 375149.50 0.000 0.000 0.000 -0.000 0.000 0.001 90.6446963054 -0.7425991391 0.6159926551
2129.00000 375149.60 0.000 0.000 0.000 0.001 -0.001 -0.000 90.6452520745 -0.7429944800 0.6157692016
2129.00000 375149.70 0.000 0.000 0.000 0.001 -0.000 0.000 90.6448108970 -0.7423413081 0.6164739397
2129.00000 375149.80 0.000 0.000 0.000 -0.000 0.000 0.001 90.6447707899 -0.7431663673 0.6157863903
2129.00000 375149.90 0.000 0.000 0.000 0.000 0.000 -0.001 90.6456932520 -0.7433325251 0.6155858551
2129.00000 375150.00 0.000 0.000 0.000 0.001 0.001 0.001 90.6454583393 -0.7422037982 0.6155514776
2129.00000 375150.10 0.000 0.000 0.000 0.000 0.000 0.000 90.6456015787 -0.7439856970 0.6155228297
2129.00000 375150.20 0.000 0.000 0.000 0.000 0.000 -0.001 90.6458135731 -0.7425647616 0.6168578214
2129.00000 375150.30 0.000 0.000 0.000 0.001 0.001 0.001 90.6457562773 -0.7420147222 0.6168750101
2129.00000 375150.40 0.000 0.000 0.000 0.000 0.000 0.000 90.6456073083 -0.7429772913 0.6156546100
2129.00000 375150.50 0.000 0.000 0.000 0.001 0.000 -0.000 90.6458765985 -0.7418542940 0.6160327622
2129.00000 375150.60 0.000 0.000 0.000 0.001 0.001 0.001 90.6455328238 -0.7424730884 0.6164796692
2129.00000 375150.70 0.000 0.000 0.000 0.000 0.000 0.000 90.6456646041 -0.7435216012 0.6168177143
2129.00000 375150.80 0.000 0.000 0.000 0.000 0.000 -0.001 90.6460943224 -0.7422152574 0.6169609538
2129.00000 375150.90 0.000 0.000 0.000 0.000 0.000 0.000 90.6455041759 -0.7421235841 0.6170125200
2129.00000 375151.00 0.000 0.000 0.000 0.001 0.000 -0.000 90.6455099055 -0.7430403166 0.6165369650
