     Week         GPSTime       E        N          U       VX       VY       VZ          Heading               Pitch                  Roll
   (weeks)              (sec)       (m)    (m)       (m)   (m/s)  (m/s)   (m/s)           (deg)                 (deg)                 (deg) 
2233.00000 22451.000 0.096 -0.579 0.003 0.920 -5.776 0.022 2.20027E-05 1.70745E-05 7.68856E-06
2233.00000 22451.100 0.188 -1.155 0.006 0.871 -5.750 0.037 2.17536E-05 1.69412E-05 7.61625E-06
2233.00000 22451.200 0.276 -1.726 0.010 0.866 -5.694 0.026 2.15050E-05 1.68075E-05 7.54392E-06
2233.00000 22451.300 0.364 -2.294 0.013 0.847 -5.650 0.025 2.12570E-05 1.66732E-05 7.47158E-06
2233.00000 22451.400 0.449 -2.856 0.015 0.809 -5.606 0.034 2.10093E-05 1.65386E-05 7.39921E-06
2233.00000 22451.500 0.529 -3.415 0.019 0.780 -5.568 0.046 2.07622E-05 1.64034E-05 7.32683E-06
2233.00000 22451.600 0.606 -3.971 0.022 0.746 -5.542 0.042 2.05156E-05 1.62678E-05 7.25442E-06
2233.00000 22451.700 0.681 -4.523 0.027 0.734 -5.495 0.038 2.02694E-05 1.61317E-05 7.18200E-06
2233.00000 22451.800 0.753 -5.071 0.031 0.706 -5.452 0.050 2.00238E-05 1.59952E-05 7.10955E-06
2233.00000 22451.900 0.823 -5.614 0.035 0.666 -5.429 0.043 1.97786E-05 1.58582E-05 7.03709E-06
2233.00000 22452.000 0.891 -6.154 0.039 0.656 -5.377 0.051 1.95339E-05 1.57207E-05 6.96461E-06
2233.00000 22452.100 0.957 -6.689 0.044 0.638 -5.326 0.043 1.93325E-05 1.55927E-05 6.90107E-06
2233.00000 22452.200 1.021 -7.220 0.048 0.617 -5.291 0.033 1.91313E-05 1.54644E-05 6.83763E-06
2233.00000 22452.300 1.083 -7.746 0.053 0.580 -5.253 0.038 1.89302E-05 1.53360E-05 6.77430E-06
2233.00000 22452.400 1.140 -8.268 0.058 0.565 -5.195 0.034 1.87291E-05 1.52074E-05 6.71107E-06
2233.00000 22452.500 1.196 -8.786 0.062 0.539 -5.161 0.039 1.85281E-05 1.50786E-05 6.64795E-06
2233.00000 22452.600 1.249 -9.300 0.067 0.516 -5.115 0.033 1.83273E-05 1.49496E-05 6.58492E-06
2233.00000 22452.700 1.301 -9.809 0.071 0.479 -5.066 0.048 1.81265E-05 1.48204E-05 6.52200E-06
2233.00000 22452.800 1.349 -10.314 0.075 0.475 -5.029 0.040 1.79258E-05 1.46910E-05 6.45918E-06
2233.00000 22452.900 1.396 -10.813 0.078 0.451 -4.974 0.033 1.77252E-05 1.45614E-05 6.39646E-06
2233.00000 22453.000 1.442 -11.308 0.082 0.422 -4.923 0.039 1.75247E-05 1.44316E-05 6.33385E-06
2233.00000 22453.100 1.485 -11.798 0.084 0.416 -4.877 0.029 1.73447E-05 1.43032E-05 6.28861E-06
